Gene,seqnames,start,end,source,type,score,Alias,start_in_plot,end_in_plot,final_posi_plot
2246at155619,Scaffold05,1076502,1079801,BUSCO,gene,839.8,,20355151,20358450,20356800.5
2249at155619,Scaffold02,1162081,1166690,BUSCO,gene,510.1,,5430663,5435272,5432967.5
22654at155619,Scaffold08,2051666,2055172,BUSCO,gene,524.9,Inositol polyphosphate phosphatase,34616737,34620243,34618490
22702at155619,Scaffold09,2508064,2510000,BUSCO,gene,410,,38753968,38755904,38754936
22906at155619,Scaffold05,2941192,2944460,BUSCO,gene,348.6,,22219841,22223109,22221475
22942at155619,Scaffold12,1247521,1249522,BUSCO,gene,546.4,,48309420,48311421,48310420.5
22972at155619,Scaffold01,2261717,2263197,BUSCO,gene,522.6,,2261717,2263197,2262457
23018at155619,Scaffold08,594900,597498,BUSCO,gene,611.9,,33159971,33162569,33161270
23023at155619,Scaffold11,2195254,2196279,BUSCO,gene,217.9,P-loop containing nucleoside triphosphate hydrolase protein,45608568,45609593,45609080.5
23141at155619,Scaffold08,797707,798991,BUSCO,gene,633.1,Ribosomal protein L4/L1e,33362778,33364062,33363420
23160at155619,Scaffold02,3948302,3949924,BUSCO,gene,536.5,,8216884,8218506,8217695
23179at155619,Scaffold04,1108163,1110913,BUSCO,gene,416,,15600477,15603227,15601852
23180at155619,Scaffold01,3021843,3023169,BUSCO,gene,452.1,ras-related gtp binding a,3021843,3023169,3022506
2319at155619,Scaffold07,933554,936884,BUSCO,gene,1282.4,,29258451,29261781,29260116
23204at155619,Scaffold07,1246663,1248188,BUSCO,gene,325.3,Queuosine salvage protein,29571560,29573085,29572322.5
23216at155619,Scaffold06,815675,822267,BUSCO,gene,238.6,plus-3-domain-containing protein,26520579,26527171,26523875
23227at155619,Scaffold02,2270370,2271766,BUSCO,gene,450.9,,6538952,6540348,6539650
23251at155619,Scaffold04,2337278,2338847,BUSCO,gene,357,,16829592,16831161,16830376.5
23328at155619,Scaffold03,3368082,3372076,BUSCO,gene,434,,12918500,12922494,12920497
23427at155619,Scaffold04,2013477,2015377,BUSCO,gene,466.9,,16505791,16507691,16506741
23468at155619,Scaffold03,2926576,2928377,BUSCO,gene,306.3,WD40-repeat-containing domain,12476994,12478795,12477894.5
23530at155619,Scaffold11,2528412,2530032,BUSCO,gene,617.3,,45941726,45943346,45942536
23613at155619,Scaffold06,686035,687254,BUSCO,gene,501.5,vacuolar protein sorting-associated protein 26,26390939,26392158,26391548.5
23746at155619,Scaffold01,728963,730654,BUSCO,gene,445.6,Cell division control protein 73  C-termil,NA,728963,730654
23753at155619,Scaffold03,2920495,2922067,BUSCO,gene,500.9,,12470913,12472485,12471699
23765at155619,Scaffold03,3784590,3786732,BUSCO,gene,286.9,,13335008,13337150,13336079
23824at155619,Scaffold09,2904704,2905788,BUSCO,gene,512.5,,39150608,39151692,39151150
23837at155619,Scaffold03,3259289,3260831,BUSCO,gene,236.8,,12809707,12811249,12810478
23945at155619,Scaffold02,3845706,3849293,BUSCO,gene,925.9,,8114288,8117875,8116081.5
23952at155619,Scaffold01,3306984,3308388,BUSCO,gene,251.4,actin depolymerizing protein,3306984,3308388,3307686
2408at155619,Scaffold02,3148168,3151919,BUSCO,gene,1204.9,glycosyltransferase family 2 protein,7416750,7420501,7418625.5
24174at155619,Scaffold03,1686927,1688754,BUSCO,gene,442.8,eukaryotic translation initiation factor 2B delta subunit,11237345,11239172,11238258.5
24261at155619,Scaffold12,525329,526530,BUSCO,gene,500.7,,47587228,47588429,47587828.5
2427at155619,Scaffold01,2075856,2079882,BUSCO,gene,1539.7,,2075856,2079882,2077869
24334at155619,Scaffold01,2785994,2787840,BUSCO,gene,430.9,3-hydroxyisobutyryl-CoA hydrolase  mitochondrial,NA,2785994,2787840
24345at155619,Scaffold01,1188465,1189992,BUSCO,gene,434.9,,1188465,1189992,1189228.5
24374at155619,Scaffold05,1482063,1483412,BUSCO,gene,608.4,Cysteine synthase,20760712,20762061,20761386.5
24440at155619,Scaffold03,2645260,2652167,BUSCO,gene,414.6,Casein kinase II subunit beta,12195678,12202585,12199131.5
24448at155619,Scaffold02,2344306,2346410,BUSCO,gene,445.6,Rhomboid-like protein,6612888,6614992,6613940
24463at155619,Scaffold02,2898988,2903778,BUSCO,gene,459.4,inorganic diphosphatase,7167570,7172360,7169965
24467at155619,Scaffold04,3598026,3599376,BUSCO,gene,451.2,Cytochrome c-like domain,18090340,18091690,18091015
24750at155619,Scaffold11,693779,696552,BUSCO,gene,470.4,,44107093,44109866,44108479.5
24753at155619,Scaffold02,915561,916882,BUSCO,gene,433.1,Chitin synthase export chaperone,5184143,5185464,5184803.5
24909at155619,Scaffold12,1187763,1189213,BUSCO,gene,455.5,,48249662,48251112,48250387
25014at155619,Scaffold02,1461541,1464049,BUSCO,gene,379.3,,5730123,5732631,5731377
25035at155619,Scaffold06,1061714,1071855,BUSCO,gene,451.6,cop9 signalosome complex subunit 1,26766618,26776759,26771688.5
25044at155619,Scaffold02,488532,490914,BUSCO,gene,400.8,Pkinase-domain-containing protein,4757114,4759496,4758305
25069at155619,Scaffold05,2189589,2191457,BUSCO,gene,487.1,,21468238,21470106,21469172
25171at155619,Scaffold05,2966421,2967663,BUSCO,gene,210.5,,22245070,22246312,22245691
25191at155619,Scaffold08,1331125,1332755,BUSCO,gene,176,predicted protein,33896196,33897826,33897011
25195at155619,Scaffold03,2013603,2016541,BUSCO,gene,471.1,,11564021,11566959,11565490
25214at155619,Scaffold11,409015,410091,BUSCO,gene,393.7,,43822329,43823405,43822867
25342at155619,Scaffold11,2689635,2690945,BUSCO,gene,358.8,,46102949,46104259,46103604
25353at155619,Scaffold02,3389069,3392782,BUSCO,gene,412.3,,7657651,7661364,7659507.5
25597at155619,Scaffold04,3174546,3179784,BUSCO,gene,556.4,Zinc finger  RING-type,NA,17666860,17672098
25684at155619,Scaffold05,1104259,1109723,BUSCO,gene,438.8,,20382908,20388372,20385640
25698at155619,Scaffold03,3646956,3648220,BUSCO,gene,539.7,Ribosomal protein L5 eukaryotic/L18 archaeal,13197374,13198638,13198006
25702at155619,Scaffold04,2283068,2284895,BUSCO,gene,421.9,,16775382,16777209,16776295.5
25725at155619,Scaffold05,920069,921570,BUSCO,gene,393.4,,20198718,20200219,20199468.5
25743at155619,Scaffold07,3774896,3777252,BUSCO,gene,364.3,,32099793,32102149,32100971
25820at155619,Scaffold04,4174473,4176766,BUSCO,gene,568.8,,18666787,18669080,18667933.5
2586at155619,Scaffold08,694827,698387,BUSCO,gene,1456.2,,33259898,33263458,33261678
25990at155619,Scaffold09,2180791,2187247,BUSCO,gene,159.7,tubulin nucleotide-binding domain-like protein,38426695,38433151,38429923
26059at155619,Scaffold08,2076009,2077797,BUSCO,gene,310.8,,34641080,34642868,34641974
26060at155619,Scaffold10,2062083,2063912,BUSCO,gene,647,diphenol oxidase-A2,42662186,42664015,42663100.5
26133at155619,Scaffold07,1745905,1746967,BUSCO,gene,400.1,,30070802,30071864,30071333
26193at155619,Scaffold03,1496973,1499988,BUSCO,gene,622.7,,11047391,11050406,11048898.5
26200at155619,Scaffold03,3075055,3076300,BUSCO,gene,453.8,Mov34-domain-containing protein,12625473,12626718,12626095.5
26343at155619,Scaffold01,2130910,2132542,BUSCO,gene,308.4,WD40-repeat-containing domain,2130910,2132542,2131726
26356at155619,Scaffold03,3506822,3508454,BUSCO,gene,564.3,,13057240,13058872,13058056
26418at155619,Scaffold05,1009654,1011126,BUSCO,gene,432.6,S-adenosylmethionine decarboxylase,20288303,20289775,20289039
26421at155619,Scaffold01,2337208,2338825,BUSCO,gene,428,,2337208,2338825,2338016.5
26433at155619,Scaffold05,2076745,2077886,BUSCO,gene,363.5,chromatin associated protein KTI12,21355394,21356535,21355964.5
26434at155619,Scaffold01,1316713,1318137,BUSCO,gene,411.9,Pirin,1316713,1318137,1317425
26508at155619,Scaffold05,1472804,1477355,BUSCO,gene,327.9,,20751453,20756004,20753728.5
26520at155619,Scaffold02,858229,861374,BUSCO,gene,545.1,Chromosome segregation protein spc25,5126811,5129956,5128383.5
26587at155619,Scaffold02,741231,744438,BUSCO,gene,413.7,,5009813,5013020,5011416.5
26642at155619,Scaffold07,2851134,2852623,BUSCO,gene,252.2,,31176031,31177520,31176775.5
26817at155619,Scaffold11,343454,347375,BUSCO,gene,482.6,GPN-loop GTPase,43756768,43760689,43758728.5
26857at155619,Scaffold03,2902209,2904943,BUSCO,gene,419.6,,12452627,12455361,12453994
26864at155619,Scaffold03,2408118,2410494,BUSCO,gene,344.2,Winged helix-like DNA-binding domain superfamily,11958536,11960912,11959724
26869at155619,Scaffold08,1636163,1637640,BUSCO,gene,386.6,,34201234,34202711,34201972.5
26953at155619,Scaffold03,4402008,4403613,BUSCO,gene,423,,13952426,13954031,13953228.5
269at155619,Scaffold09,3206212,3213222,BUSCO,gene,2187.1,,39452116,39459126,39455621
27086at155619,Scaffold08,1871529,1873083,BUSCO,gene,316.3,,34436600,34438154,34437377
27157at155619,Scaffold02,3757208,3758446,BUSCO,gene,465.2,,8025790,8027028,8026409
27179at155619,Scaffold07,681361,685604,BUSCO,gene,241.6,,29006258,29010501,29008379.5
27207at155619,Scaffold03,3342828,3344146,BUSCO,gene,331.2,,12893246,12894564,12893905
2721at155619,Scaffold05,2924986,2928463,BUSCO,gene,1415.4,,22203635,22207112,22205373.5
27255at155619,Scaffold07,2229305,2230722,BUSCO,gene,365.4,,30554202,30555619,30554910.5
2726at155619,Scaffold03,4509010,4514687,BUSCO,gene,932.5,,14059428,14065105,14062266.5
27292at155619,Scaffold05,2074293,2075624,BUSCO,gene,279.7,RNA polymerase Rpb7-like  N-termil domain superfamily,NA,21352942,21354273
27296at155619,Scaffold05,2521589,2522788,BUSCO,gene,431.5,,21800238,21801437,21800837.5
27377at155619,Scaffold10,1030480,1032280,BUSCO,gene,244.9,,41630583,41632383,41631483
27455at155619,Scaffold12,959049,960399,BUSCO,gene,355.6,alpha-L RNA-binding motif-containing protein,48020948,48022298,48021623
27528at155619,Scaffold02,2612849,2614224,BUSCO,gene,438.2,,6881431,6882806,6882118.5
27636at155619,Scaffold03,4170497,4172053,BUSCO,gene,508.6,,13720915,13722471,13721693
27748at155619,Scaffold02,1608490,1609963,BUSCO,gene,450.6,,5877072,5878545,5877808.5
27831at155619,Scaffold04,3088480,3089746,BUSCO,gene,340.8,,17580794,17582060,17581427
27834at155619,Scaffold02,2160458,2161301,BUSCO,gene,440.1,,6429040,6429883,6429461.5
2790at155619,Scaffold02,2275489,2278423,BUSCO,gene,1369.2,Clp  N-termil,NA,6544071,6547005
27942at155619,Scaffold08,1653920,1655457,BUSCO,gene,426.7,,34218991,34220528,34219759.5
27973at155619,Scaffold11,1423620,1425032,BUSCO,gene,286.5,,44836934,44838346,44837640
27988at155619,Scaffold08,676554,678398,BUSCO,gene,454.1,,33241625,33243469,33242547
28001at155619,Scaffold04,3249780,3251374,BUSCO,gene,538.1,Cystathionine beta-synthase,17742094,17743688,17742891
28006at155619,Scaffold06,1365607,1368260,BUSCO,gene,739.2,Dihydropteroate synthase,27070511,27073164,27071837.5
28157at155619,Scaffold09,2410765,2412478,BUSCO,gene,440,mitochondrial carrier,38656669,38658382,38657525.5
28285at155619,Scaffold05,3205352,3206298,BUSCO,gene,464.8,,22484001,22484947,22484474
28295at155619,Scaffold01,1573664,1579913,BUSCO,gene,156.3,,1573664,1579913,1576788.5
28302at155619,Scaffold05,1779331,1780885,BUSCO,gene,222,,21057980,21059534,21058757
28314at155619,Scaffold08,2475709,2477177,BUSCO,gene,147.6,,35040780,35042248,35041514
2832at155619,Scaffold09,1629132,1638752,BUSCO,gene,735.4,,37875036,37884656,37879846
28338at155619,Scaffold03,2906284,2907253,BUSCO,gene,255.6,Protein-S-isoprenylcysteine O-methyltransferase,12456702,12457671,12457186.5
28387at155619,Scaffold03,2690553,2691991,BUSCO,gene,389.5,UPF0183-domain-containing protein,12240971,12242409,12241690
28417at155619,Scaffold05,3055239,3056320,BUSCO,gene,192.6,,22333888,22334969,22334428.5
28424at155619,Scaffold05,2649465,2650729,BUSCO,gene,451.5,mitochondrial carrier,21928114,21929378,21928746
28476at155619,Scaffold05,1820715,1823660,BUSCO,gene,461.1,Rubisco LSMT  substrate-binding domain,NA,21099364,21102309
28492at155619,Scaffold03,3340834,3342035,BUSCO,gene,381.2,,12891252,12892453,12891852.5
28496at155619,Scaffold05,4922371,4923607,BUSCO,gene,394.9,,24201020,24202256,24201638
28533at155619,Scaffold11,1277247,1278474,BUSCO,gene,374.7,,44690561,44691788,44691174.5
28627at155619,Scaffold06,2078007,2079399,BUSCO,gene,368.4,,27782911,27784303,27783607
28757at155619,Scaffold08,1637894,1639249,BUSCO,gene,376.6,,34202965,34204320,34203642.5
2878at155619,Scaffold03,2768015,2772564,BUSCO,gene,1123.2,glycoside hydrolase family 2 protein,12318433,12322982,12320707.5
28811at155619,Scaffold02,4069075,4070521,BUSCO,gene,403.5,,8337657,8339103,8338380
28859at155619,Scaffold10,1895294,1897535,BUSCO,gene,407.6,,42495397,42497638,42496517.5
29014at155619,Scaffold01,3427380,3428697,BUSCO,gene,335.2,Ccdc55 protein,3427380,3428697,3428038.5
29103at155619,Scaffold01,1763849,1766856,BUSCO,gene,378,,1763849,1766856,1765352.5
29153at155619,Scaffold02,1606302,1607454,BUSCO,gene,367.6,,5874884,5876036,5875460
29157at155619,Scaffold03,1569397,1570742,BUSCO,gene,464.1,,11119815,11121160,11120487.5
29242at155619,Scaffold05,1113605,1115094,BUSCO,gene,338.7,,20392254,20393743,20392998.5
29269at155619,Scaffold03,2556524,2558675,BUSCO,gene,310,,12106942,12109093,12108017.5
29309at155619,Scaffold08,1935929,1937912,BUSCO,gene,327.9,,34501000,34502983,34501991.5
29326at155619,Scaffold02,2962963,2966464,BUSCO,gene,336.4,,7231545,7235046,7233295.5
2939at155619,Scaffold03,3431989,3436559,BUSCO,gene,1171.1,,12982407,12986977,12984692
29427at155619,Scaffold03,3249180,3250515,BUSCO,gene,395.2,,12799598,12800933,12800265.5
29435at155619,Scaffold11,2628932,2630563,BUSCO,gene,318.2,,46042246,46043877,46043061.5
29504at155619,Scaffold08,1869315,1870394,BUSCO,gene,403.9,,34434386,34435465,34434925.5
29537at155619,Scaffold03,4189294,4190230,BUSCO,gene,440.1,,13739712,13740648,13740180
29568at155619,Scaffold09,2636230,2637718,BUSCO,gene,334.2,LuxS/MPP-like metallohydrolase,38882134,38883622,38882878
29577at155619,Scaffold02,4355422,4358039,BUSCO,gene,501.7,,8624004,8626621,8625312.5
29588at155619,Scaffold07,2705950,2707017,BUSCO,gene,214.4,,31030847,31031914,31031380.5
29601at155619,Scaffold01,2229749,2232808,BUSCO,gene,422,Brix-domain-containing protein,2229749,2232808,2231278.5
29616at155619,Scaffold01,2137108,2138518,BUSCO,gene,386.2,rab-protein geranylgeranyltransferase,2137108,2138518,2137813
29621at155619,Scaffold02,3651363,3652722,BUSCO,gene,314.2,DUF1751-domain-containing protein,7919945,7921304,7920624.5
29637at155619,Scaffold01,2808536,2809795,BUSCO,gene,276.2,,2808536,2809795,2809165.5
29713at155619,Scaffold05,4298947,4301483,BUSCO,gene,288.6,mRNA-decapping enzyme 1B,23577596,23580132,23578864
29729at155619,Scaffold02,2731798,2732727,BUSCO,gene,409.4,,7000380,7001309,7000844.5
29735at155619,Scaffold07,2844405,2846130,BUSCO,gene,500.3,Band 7 domain,31169302,31171027,31170164.5
29797at155619,Scaffold11,2794795,2796353,BUSCO,gene,374.3,mitochondrial carrier,46208109,46209667,46208888
29830at155619,Scaffold02,2148799,2151313,BUSCO,gene,618.5,,6417381,6419895,6418638
29840at155619,Scaffold02,2782995,2785804,BUSCO,gene,338.8,predicted protein,7051577,7054386,7052981.5
29859at155619,Scaffold02,3376789,3378448,BUSCO,gene,147.7,DNA replication/checkpoint protein,7645371,7647030,7646200.5
29865at155619,Scaffold03,2326761,2329426,BUSCO,gene,275,Myb domain,11877179,11879844,11878511.5
2990at155619,Scaffold07,2069374,2074855,BUSCO,gene,151.1,,30394271,30399752,30397011.5
29925at155619,Scaffold04,3684901,3687274,BUSCO,gene,173.2,Ran binding domain,18177215,18179588,18178401.5
29932at155619,Scaffold02,3892561,3893662,BUSCO,gene,410.6,Proteasome subunit alpha type,8161143,8162244,8161693.5
29953at155619,Scaffold02,2185785,2188182,BUSCO,gene,330.2,,6454367,6456764,6455565.5
29959at155619,Scaffold06,922893,924207,BUSCO,gene,389.2,,26627797,26629111,26628454
29986at155619,Scaffold03,3687497,3688623,BUSCO,gene,385.5,,13237915,13239041,13238478
30023at155619,Scaffold04,3178528,3179886,BUSCO,gene,218.5,DNA-directed RNA polymerase III subunit rpc4,17670842,17672200,17671521
30175at155619,Scaffold04,2479221,2481997,BUSCO,gene,285.1,glycosyltransferase family 2 protein,16971535,16974311,16972923
30297at155619,Scaffold01,317526,318901,BUSCO,gene,298.2,,317526,318901,318213.5
30320at155619,Scaffold01,1588373,1589600,BUSCO,gene,395.2,PPM-type phosphatase domain,1588373,1589600,1588986.5
3035at155619,Scaffold05,1171463,1175275,BUSCO,gene,1132.5,,20450112,20453924,20452018
30382at155619,Scaffold01,3525614,3527100,BUSCO,gene,187.2,DNA glycosylase,3525614,3527100,3526357
30395at155619,Scaffold05,720570,724055,BUSCO,gene,253.2,,19999219,20002704,20000961.5
30499at155619,Scaffold07,3220240,3221924,BUSCO,gene,408.4,,31545137,31546821,31545979
30558at155619,Scaffold06,980581,981733,BUSCO,gene,410.7,,26685485,26686637,26686061
3061at155619,Scaffold02,3486480,3490224,BUSCO,gene,1267.4,,7755062,7758806,7756934
30624at155619,Scaffold08,2613957,2615134,BUSCO,gene,450.3,,35179028,35180205,35179616.5
30657at155619,Scaffold04,4229751,4231600,BUSCO,gene,260,,18722065,18723914,18722989.5
30660at155619,Scaffold03,4474181,4475323,BUSCO,gene,337.9,,14024599,14025741,14025170
30678at155619,Scaffold11,3068057,3074543,BUSCO,gene,265.4,RNA-binding domain superfamily,46481371,46487857,46484614
30690at155619,Scaffold10,1082209,1085443,BUSCO,gene,280.5,lipid droplet-associated perilipin protein,41682312,41685546,41683929
30694at155619,Scaffold10,1787769,1789253,BUSCO,gene,387,phosphopantothenate-cysteine ligase,42387872,42389356,42388614
3075at155619,Scaffold07,1280658,1285150,BUSCO,gene,733.8,,29605555,29610047,29607801
307at155619,Scaffold03,3736380,3741975,BUSCO,gene,1916.1,DNA-directed RNA polymerase subunit,13286798,13292393,13289595.5
30830at155619,Scaffold01,577785,579181,BUSCO,gene,451.3,tryptophanyl-tRNA synthetase,577785,579181,578483
30873at155619,Scaffold01,3400592,3401947,BUSCO,gene,181.6,methionine aminopeptidase 1 (1),3400592,3401947,3401269.5
30917at155619,Scaffold05,1496752,1498299,BUSCO,gene,368.1,Pentatricopeptide repeat,20775401,20776948,20776174.5
30934at155619,Scaffold02,2988865,2990050,BUSCO,gene,376.3,,7257447,7258632,7258039.5
30942at155619,Scaffold02,3536651,3538638,BUSCO,gene,334.9,,7805233,7807220,7806226.5
31020at155619,Scaffold02,2814299,2815676,BUSCO,gene,433.4,NADH-cytochrome b5 reductase,7082881,7084258,7083569.5
31022at155619,Scaffold08,1204688,1206013,BUSCO,gene,379.3,cytoplasmic protein,33769759,33771084,33770421.5
31025at155619,Scaffold04,2816736,2818169,BUSCO,gene,365.4,,17309050,17310483,17309766.5
31106at155619,Scaffold01,2812142,2813539,BUSCO,gene,163.1,,2812142,2813539,2812840.5
31123at155619,Scaffold03,3245491,3248782,BUSCO,gene,372.1,,12795909,12799200,12797554.5
31128at155619,Scaffold01,1266162,1267385,BUSCO,gene,298.3,oligosaccharyl transferase subunit OST3/OST6 family,1266162,1267385,1266773.5
31152at155619,Scaffold05,3597068,3598610,BUSCO,gene,283.4,,22875717,22877259,22876488
31224at155619,Scaffold08,949846,950890,BUSCO,gene,385.5,Casein kinase II subunit beta,33514917,33515961,33515439
31236at155619,Scaffold01,693044,694427,BUSCO,gene,420.2,,693044,694427,693735.5
31365at155619,Scaffold10,1229617,1230661,BUSCO,gene,182.4,LmbE-like protein,41829720,41830764,41830242
31488at155619,Scaffold03,3280241,3281231,BUSCO,gene,454.7,40S ribosomal protein S1,12830659,12831649,12831154
31509at155619,Scaffold01,483186,484387,BUSCO,gene,385.4,SF3B4  R recognition motif 1,NA,483186,484387
31601at155619,Scaffold09,1966320,1968013,BUSCO,gene,227.9,Choline-phosphate cytidylyltransferase,38212224,38213917,38213070.5
3165at155619,Scaffold04,3235261,3239623,BUSCO,gene,1310.3,,17727575,17731937,17729756
31726at155619,Scaffold05,1030482,1032261,BUSCO,gene,291.2,,20309131,20310910,20310020.5
31832at155619,Scaffold03,2516694,2518279,BUSCO,gene,311.4,,12067112,12068697,12067904.5
31859at155619,Scaffold07,2938405,2940065,BUSCO,gene,476.8,,31263302,31264962,31264132
31957at155619,Scaffold04,2425933,2427131,BUSCO,gene,235.7,,16918247,16919445,16918846
31988at155619,Scaffold05,2088792,2089785,BUSCO,gene,174,RlpA-like domain superfamily,21367441,21368434,21367937.5
32080at155619,Scaffold02,2982886,2984075,BUSCO,gene,338.4,Metallo-dependent hydrolase,7251468,7252657,7252062.5
32132at155619,Scaffold07,1316184,1317207,BUSCO,gene,255.6,,29641081,29642104,29641592.5
32135at155619,Scaffold02,4553600,4555292,BUSCO,gene,285.2,,8822182,8823874,8823028
32142at155619,Scaffold02,2035779,2036858,BUSCO,gene,294.6,peroxisomal biogenesis factor 11,6304361,6305440,6304900.5
32159at155619,Scaffold02,3670916,3674721,BUSCO,gene,198.9,,7939498,7943303,7941400.5
32268at155619,Scaffold09,1299519,1300828,BUSCO,gene,253.8,,37545423,37546732,37546077.5
32382at155619,Scaffold10,1908494,1909460,BUSCO,gene,364.5,,42508597,42509563,42509080
32394at155619,Scaffold03,2686646,2687802,BUSCO,gene,265.1,membrane insertase activity,12237064,12238220,12237642
32506at155619,Scaffold05,2398496,2399670,BUSCO,gene,481.6,Proteasome subunit alpha type,21677145,21678319,21677732
32530at155619,Scaffold02,4176774,4177954,BUSCO,gene,250.9,Elongation factor Ts  mitochondrial,NA,8445356,8446536
3256at155619,Scaffold10,1405096,1408621,BUSCO,gene,1144.6,,42005199,42008724,42006961.5
32599at155619,Scaffold10,2027318,2028588,BUSCO,gene,93.8,,42627421,42628691,42628056
32675at155619,Scaffold01,531627,533494,BUSCO,gene,430.3,,531627,533494,532560.5
32692at155619,Scaffold02,2200424,2201629,BUSCO,gene,518.1,,6469006,6470211,6469608.5
32709at155619,Scaffold07,2859298,2860473,BUSCO,gene,153,G-patch domain,31184195,31185370,31184782.5
32712at155619,Scaffold04,2476074,2477495,BUSCO,gene,93.7,,16968388,16969809,16969098.5
32733at155619,Scaffold02,2567056,2569500,BUSCO,gene,519.2,,6835638,6838082,6836860
32754at155619,Scaffold02,3557988,3558889,BUSCO,gene,242,,7826570,7827471,7827020.5
32763at155619,Scaffold08,1374924,1376166,BUSCO,gene,396.2,,33939995,33941237,33940616
32766at155619,Scaffold05,2307342,2308671,BUSCO,gene,105.8,,21585991,21587320,21586655.5
32785at155619,Scaffold04,1482745,1483768,BUSCO,gene,340.5,Vacuolar protein sorting-associated protein 28,15975059,15976082,15975570.5
32812at155619,Scaffold03,1648222,1649243,BUSCO,gene,345.1,,11198640,11199661,11199150.5
32823at155619,Scaffold05,1783479,1784915,BUSCO,gene,359.4,,21062128,21063564,21062846
32871at155619,Scaffold02,4115850,4117832,BUSCO,gene,328,,8384432,8386414,8385423
32876at155619,Scaffold05,1019812,1021551,BUSCO,gene,428.6,,20298461,20300200,20299330.5
32880at155619,Scaffold08,702823,704687,BUSCO,gene,405.2,,33267894,33269758,33268826
32886at155619,Scaffold05,2676593,2677509,BUSCO,gene,348,RNA-binding domain-containing protein,21955242,21956158,21955700
32888at155619,Scaffold02,1327741,1328638,BUSCO,gene,344.3,,5596323,5597220,5596771.5
32898at155619,Scaffold01,2324672,2325688,BUSCO,gene,221.9,,2324672,2325688,2325180
32927at155619,Scaffold07,3653967,3656841,BUSCO,gene,198.7,CCR4-NOT complex subunit 2/3/5  N-termil domain superfamily,NA,31978864,31981738
32937at155619,Scaffold02,1235518,1236334,BUSCO,gene,312.9,Scaffold protein Nfu/NifU  N-termil,NA,5504100,5504916
32941at155619,Scaffold01,2332910,2333853,BUSCO,gene,325.6,Uridylate kinase,2332910,2333853,2333381.5
32942at155619,Scaffold01,1891453,1892294,BUSCO,gene,314.5,,1891453,1892294,1891873.5
32965at155619,Scaffold05,2826221,2827585,BUSCO,gene,340.5,,22104870,22106234,22105552
32984at155619,Scaffold11,939190,940079,BUSCO,gene,381.7,,44352504,44353393,44352948.5
32987at155619,Scaffold03,2518712,2519793,BUSCO,gene,281.3,Uracil phosphoribosyltransferase,12069130,12070211,12069670.5
32999at155619,Scaffold10,2306699,2308661,BUSCO,gene,371.7,,42906802,42908764,42907783
33109at155619,Scaffold11,2414616,2418234,BUSCO,gene,235,Leucine carboxyl methyltransferase 1,45827930,45831548,45829739
33116at155619,Scaffold07,972996,974854,BUSCO,gene,316.3,Palmitoyltransferase,29297893,29299751,29298822
33133at155619,Scaffold02,4025103,4028048,BUSCO,gene,139.9,,8293685,8296630,8295157.5
33207at155619,Scaffold01,3559168,3560518,BUSCO,gene,494.1,XAP5-domain-containing protein,3559168,3560518,3559843
33213at155619,Scaffold03,1368131,1369418,BUSCO,gene,335.3,,10918549,10919836,10919192.5
33318at155619,Scaffold02,3373664,3374573,BUSCO,gene,177.1,Mitochondrial ribosomal protein S25,7642246,7643155,7642700.5
33418at155619,Scaffold11,357290,358248,BUSCO,gene,297.1,Peroxiredoxin,43770604,43771562,43771083
33422at155619,Scaffold03,3901983,3902861,BUSCO,gene,225.9,,13452401,13453279,13452840
33477at155619,Scaffold08,2146573,2148497,BUSCO,gene,306.3,,34711644,34713568,34712606
33505at155619,Scaffold02,3981424,3982304,BUSCO,gene,328,Lumazine-binding protein,8250006,8250886,8250446
3377at155619,Scaffold01,1278219,1282641,BUSCO,gene,1538.2,,1278219,1282641,1280430
33819at155619,Scaffold07,1958217,1959179,BUSCO,gene,298.5,,30283114,30284076,30283595
33853at155619,Scaffold02,1282144,1283418,BUSCO,gene,309.5,,5550726,5552000,5551363
33859at155619,Scaffold04,2312909,2314405,BUSCO,gene,353.7,,16805223,16806719,16805971
3385at155619,Scaffold02,2102070,2106218,BUSCO,gene,1313.2,Peptidase M16  C-termil,NA,6370652,6374800
33864at155619,Scaffold05,3777076,3778986,BUSCO,gene,213.4,Snurportin-1,23055725,23057635,23056680
33877at155619,Scaffold05,1136549,1137317,BUSCO,gene,259.6,Ribonuclease E inhibitor RraA/RraA-like protein,20415198,20415966,20415582
33889at155619,Scaffold01,3505088,3506089,BUSCO,gene,257.3,,3505088,3506089,3505588.5
33906at155619,Scaffold03,4218058,4219079,BUSCO,gene,288.9,,13768476,13769497,13768986.5
33917at155619,Scaffold01,1125693,1126918,BUSCO,gene,335.6,,1125693,1126918,1126305.5
3393at155619,Scaffold08,1509795,1514021,BUSCO,gene,892.9,Winged helix-like DNA-binding domain superfamily,34074866,34079092,34076979
33947at155619,Scaffold02,1144245,1145336,BUSCO,gene,295,,5412827,5413918,5413372.5
34015at155619,Scaffold08,2169345,2170279,BUSCO,gene,366.6,,34734416,34735350,34734883
34030at155619,Scaffold03,3548357,3549722,BUSCO,gene,308.1,,13098775,13100140,13099457.5
34051at155619,Scaffold11,2744839,2745941,BUSCO,gene,345.2,,46158153,46159255,46158704
34134at155619,Scaffold02,1944085,1945190,BUSCO,gene,264.7,,6212667,6213772,6213219.5
34155at155619,Scaffold07,868589,871234,BUSCO,gene,344.6,,29193486,29196131,29194808.5
