GeneName,Comparison,count,dS_median,dS_mean,dS_SD,dN_median,dN_mean,dN_SD
18802at155619,T. abietinum,9453,0.0882,0.080618058,0.032155945,0.0107,0.010511827,0.00519155
18802at155619,T. fuscoviolaceum,820,0.11855,0.116755488,0.06336193,0.0093,0.009983659,0.005178416
18839at155619,between,5658,0.3656,0.362153429,0.024703779,0.0085,0.008378986,0.001824488
18839at155619,T. abietinum,9453,0.0981,0.08471334,0.048603795,0.0011,0.001851804,0.00173107
18839at155619,T. fuscoviolaceum,820,0.0078,0.045927683,0.052391686,0.0011,0.001995,0.002605533
18862at155619,between,5658,0.356,0.358579003,0.019326167,0.0202,0.020336992,0.002122303
18862at155619,T. abietinum,9453,0.0438,0.067342114,0.052759039,0.0033,0.003894372,0.003559437
18862at155619,T. fuscoviolaceum,820,0.008,0.024884756,0.026246676,0.0011,0.001316585,0.001124201
18999at155619,between,5658,0.4142,0.419340951,0.016390885,0.0453,0.045957565,0.003318876
18999at155619,T. abietinum,9453,0.0896,0.072754787,0.048402809,0.013,0.010613657,0.006724554
18999at155619,T. fuscoviolaceum,820,0.0211,0.038994756,0.032630929,0.0054,0.005986098,0.00399193
19019at155619,between,5658,0.3659,0.365742223,0.016720135,0.058,0.060040544,0.006145857
19019at155619,T. abietinum,9453,0.0655,0.06014899,0.025887219,0.011,0.010868222,0.005474237
19019at155619,T. fuscoviolaceum,820,0.0192,0.126595,0.146354541,0.0049,0.023577073,0.026465681
19052at155619,between,5658,0.3152,0.315949682,0.030804144,0.065,0.06391755,0.009118507
19052at155619,T. abietinum,9453,0.0741,0.075118809,0.042905563,0.0091,0.010552079,0.01020929
19052at155619,T. fuscoviolaceum,820,0.011,0.085104268,0.098379244,0.0045,0.019268537,0.021916739
19204at155619,between,5658,0.3616,0.375385171,0.03171544,0.0148,0.015889908,0.002916646
19204at155619,T. abietinum,9453,0.0524,0.044422458,0.035825594,0.0021,0.003663705,0.004846034
19204at155619,T. fuscoviolaceum,820,0.0152,0.068466951,0.073454991,0.0021,0.002455854,0.001946664
19416at155619,between,5658,0.5337,0.539171492,0.054433705,0.0151,0.019100194,0.013182334
19416at155619,T. abietinum,9453,0.1438,0.122969692,0.082652244,0.0056,0.01096544,0.017866724
19416at155619,T. fuscoviolaceum,820,0.0357,0.084853049,0.081613083,0.0011,0.002966098,0.00299699
19432at155619,between,5658,0.3399,0.342214016,0.016968266,0.0202,0.020860375,0.004431471
19432at155619,T. abietinum,9453,0.0673,0.072127716,0.04224272,0.0044,0.005454649,0.003224182
19432at155619,T. fuscoviolaceum,820,0.0208,0.033864512,0.025702548,0.0035,0.006067927,0.006672697
1943at155619,between,5658,0.39905,0.394254772,0.024277949,0.0212,0.021249735,0.001744445
1943at155619,T. abietinum,9453,0.069,0.068427684,0.031854058,0.0044,0.004625791,0.002508186
1943at155619,T. fuscoviolaceum,820,0.03545,0.045262561,0.029314435,0.0022,0.002804634,0.001976801
19590at155619,between,5658,0.4394,0.448334252,0.048664665,0.0402,0.050818028,0.048588726
19590at155619,T. abietinum,9453,0.0503,0.076752375,0.072747037,0.0085,0.02969397,0.065690303
19590at155619,T. fuscoviolaceum,820,0.0286,0.02803939,0.021436541,0.0042,0.004438293,0.002686019
19671at155619,between,5658,0.43735,0.437013662,0.036862846,0.0132,0.012974655,0.00316729
19671at155619,T. abietinum,9453,0.1035,0.098974294,0.044802586,0.0038,0.003553094,0.003453726
19671at155619,T. fuscoviolaceum,820,0.0388,0.05556622,0.041814776,0,0.002683049,0.003029177
19727at155619,between,5658,0.3635,0.361461046,0.022568421,0.0477,0.047639466,0.004495294
19727at155619,T. abietinum,9453,0.1014,0.087096467,0.051919757,0.0196,0.017301396,0.008508212
19727at155619,T. fuscoviolaceum,820,0.0227,0.062824878,0.06023505,0.0049,0.014361098,0.014417122
19846at155619,between,5658,0.4888,0.49158123,0.031479781,0.0156,0.016077519,0.001497325
19846at155619,T. abietinum,9453,0.0934,0.093402126,0.05929617,0.0031,0.003079488,0.002134598
19846at155619,T. fuscoviolaceum,820,0.06165,0.061850732,0.035467802,0.001,0.001487073,0.001094555
19853at155619,between,5658,0.3441,0.335753659,0.031716511,0.0232,0.022974001,0.001939559
19853at155619,T. abietinum,9453,0.1281,0.101750153,0.056726416,0.0048,0.005050756,0.002542864
19853at155619,T. fuscoviolaceum,820,0.0366,0.052442927,0.036304238,0.0019,0.002175488,0.001359432
19867at155619,between,5658,0.326,0.332145953,0.017348897,0.0833,0.083257724,0.002687678
19867at155619,T. abietinum,9453,0.0353,0.051216407,0.036970179,0.0056,0.008226954,0.006122999
19867at155619,T. fuscoviolaceum,820,0.0019,0.028915732,0.035209808,0.0016,0.007693049,0.008877187
19966at155619,between,5658,0.3066,0.304781,0.015788707,0.0029,0.003441658,0.001847965
19966at155619,T. abietinum,9453,0.0905,0.08241407,0.045322906,0,0.000522554,0.002923093
19966at155619,T. fuscoviolaceum,820,0.0083,0.025040122,0.02541327,0,0.000529268,0.000679274
20073at155619,between,5658,0.3272,0.326277395,0.022327202,0.0264,0.026606752,0.004139439
20073at155619,T. abietinum,9453,0.1,0.096735491,0.038295482,0.0119,0.012068063,0.005116757
20073at155619,T. fuscoviolaceum,820,0.0914,0.081673537,0.048916535,0.009,0.008736341,0.005931748
20158at155619,between,5658,0.4147,0.413924532,0.020510971,0.0414,0.042206893,0.003362038
20158at155619,T. abietinum,9453,0.1264,0.100875383,0.054436621,0.0135,0.014306305,0.008339165
20158at155619,T. fuscoviolaceum,820,0.007,0.011988902,0.010733578,0.0028,0.003741707,0.002702537
2016at155619,between,5658,0.3202,0.320164634,0.009153506,0.0251,0.025197331,0.00121561
2016at155619,T. abietinum,9453,0.0598,0.065296424,0.030060103,0.0074,0.006972675,0.002712021
2016at155619,T. fuscoviolaceum,820,0.0078,0.020403537,0.019063641,0.0017,0.002621951,0.002129256
20170at155619,between,5658,0.328,0.327882556,0.0163625,0.018,0.018047808,0.001179004
20170at155619,T. abietinum,9453,0.0577,0.055187803,0.030981685,0.0012,0.001653063,0.00164039
20170at155619,T. fuscoviolaceum,820,0.0308,0.042200732,0.032687386,0.0012,0.001128171,0.001051889
20174at155619,between,5658,0.2842,0.284973241,0.015541741,0.0044,0.004454171,0.001125893
20174at155619,T. abietinum,9453,0.0538,0.047020787,0.026551676,0.003,0.003127028,0.002243895
20174at155619,T. fuscoviolaceum,820,0.0149,0.024113049,0.025484333,0,0,0
20253at155619,between,5658,0.3456,0.34864111,0.025226406,0.0095,0.009999558,0.00175396
20253at155619,T. abietinum,9453,0.0667,0.083636232,0.052241505,0.0032,0.003194901,0.002367732
20253at155619,T. fuscoviolaceum,820,0.1253,0.08081439,0.061492534,0.0032,0.002465854,0.002059341
20342at155619,between,5658,0.4386,0.438304631,0.02890627,0.0146,0.015692029,0.006153327
20342at155619,T. abietinum,9453,0.0826,0.078243119,0.028352837,0.0038,0.005889263,0.007817456
20342at155619,T. fuscoviolaceum,820,0.0657,0.059402561,0.044710775,0.0038,0.00468439,0.00359941
20538at155619,between,5658,0.3803,0.38196292,0.028384681,0.0512,0.051816561,0.004704951
20538at155619,T. abietinum,9453,0.118,0.110338718,0.050535714,0.0174,0.016168581,0.006424943
20538at155619,T. fuscoviolaceum,820,0.0392,0.034180854,0.016448094,0.0078,0.007829634,0.004616048
20571at155619,between,5658,0.3857,0.387673418,0.016150113,0.0527,0.053246394,0.003996944
20571at155619,T. abietinum,9453,0.0786,0.094445023,0.054161239,0.0091,0.01155686,0.006800038
20571at155619,T. fuscoviolaceum,820,0.0102,0.033021341,0.03427477,0.0021,0.006107927,0.005813592
20582at155619,between,5658,0.1981,0.201514634,0.017381437,0.0518,0.052349346,0.003248508
20582at155619,T. abietinum,9453,0.048,0.056292944,0.03149037,0.0138,0.011599746,0.006468194
20582at155619,T. fuscoviolaceum,820,0.0233,0.021923415,0.012432307,0.0059,0.00866122,0.006878477
20620at155619,between,5658,0.3099,0.306764864,0.02432777,0.0102,0.010757299,0.002460448
20620at155619,T. abietinum,9453,0.1031,0.083393261,0.060531223,0.0051,0.005385486,0.003036979
20620at155619,T. fuscoviolaceum,820,0.0126,0.048407439,0.053435243,0.0025,0.004485244,0.004045687
20627at155619,between,5658,0.2416,0.244590474,0.014489551,0.0275,0.027602174,0.002853068
20627at155619,T. abietinum,9453,0.0452,0.054972781,0.045672303,0.0056,0.006679181,0.004680393
20627at155619,T. fuscoviolaceum,820,0.00445,0.02109439,0.022162143,0.0037,0.004835488,0.004392267
20684at155619,between,5658,0.3631,0.360093266,0.024509841,0.0597,0.060271651,0.003199003
20684at155619,T. abietinum,9453,0.0672,0.066216799,0.037502862,0.0098,0.011827769,0.008593654
20684at155619,T. fuscoviolaceum,820,0.0166,0.026035488,0.024240735,0.00455,0.008218659,0.007035227
20721at155619,between,5658,0.3014,0.303258784,0.017900498,0.0394,0.039685012,0.002751028
20721at155619,T. abietinum,9453,0.0472,0.043202359,0.025260049,0.0013,0.00273218,0.003205429
20721at155619,T. fuscoviolaceum,820,0.0473,0.045095244,0.019438203,0.0051,0.005200488,0.002924708
20729at155619,between,5658,0.3821,0.383941888,0.019442619,0.0108,0.011503022,0.000812902
20729at155619,T. abietinum,9453,0.115,0.099424564,0.047400019,0,0.000664085,0.001016353
20729at155619,T. fuscoviolaceum,820,0.0247,0.095288415,0.099332469,0,0.000570732,0.000658353
20735at155619,between,5658,0.3082,0.305110799,0.022569299,0.0352,0.035223984,0.002472394
20735at155619,T. abietinum,9453,0.0511,0.06623144,0.046502107,0.0038,0.004419094,0.004483411
20735at155619,T. fuscoviolaceum,820,0.0087,0.011049146,0.00898073,0.0019,0.002896829,0.002840053
20880at155619,between,5658,0.321,0.324318469,0.026025351,0.0167,0.016642877,0.001747137
20880at155619,T. abietinum,9453,0.1,0.093991326,0.042954572,0.0028,0.004076357,0.003138734
20880at155619,T. fuscoviolaceum,820,0.05735,0.059679146,0.026293655,0.0028,0.002662927,0.001447676
20895at155619,between,5658,0.3487,0.359461258,0.031246555,0.0158,0.015667391,0.003276587
20895at155619,T. abietinum,9453,0.1088,0.115341437,0.068438208,0.0074,0.00760713,0.003723698
20895at155619,T. fuscoviolaceum,820,0.0129,0.022493415,0.019822182,0,0.00026378,0.000656864
20920at155619,between,5658,0.3306,0.329167904,0.015170711,0.0341,0.034044645,0.002400688
20920at155619,T. abietinum,9453,0.0634,0.065864212,0.036867129,0.007,0.00619963,0.003571241
20920at155619,T. fuscoviolaceum,820,0.0132,0.040817195,0.039354481,0.0018,0.005035488,0.004994527
20934at155619,between,5658,0.2901,0.290125433,0.015965004,0.0033,0.00432561,0.002548418
20934at155619,T. abietinum,9453,0.0729,0.069738189,0.049570665,0,0.000914228,0.003057725
20934at155619,T. fuscoviolaceum,820,0.0282,0.043238171,0.033456548,0,0.001001829,0.001232896
20939at155619,between,5658,0.4194,0.417371881,0.01871645,0.0151,0.01605258,0.003603857
20939at155619,T. abietinum,9453,0.0796,0.074293029,0.044252389,0.0045,0.005204729,0.005175202
20939at155619,T. fuscoviolaceum,820,0.0034,0.006943415,0.007137532,0,0.000585366,0.000950884
21215at155619,between,5658,0.2453,0.24819666,0.017936861,0.0096,0.009915394,0.002465207
21215at155619,T. abietinum,9453,0.0679,0.060827822,0.034139181,0.0011,0.001984344,0.003507484
21215at155619,T. fuscoviolaceum,820,0.0199,0.036485732,0.034009673,0.0011,0.002311829,0.002694578
21271at155619,between,5658,0.2456,0.246227183,0.018457407,0,8.37E-05,0.000445083
21271at155619,T. abietinum,9453,0.0641,0.060718185,0.032098585,0,7.93E-05,0.000487646
21271at155619,T. fuscoviolaceum,820,0.0497,0.04512122,0.025675497,0,8.78E-05,0.000387972
21387at155619,between,5658,0.4047,0.407596854,0.037554628,0.0054,0.005737222,0.002151365
21387at155619,T. abietinum,9453,0.0822,0.08883473,0.061306758,0.0013,0.001600487,0.002331629
21387at155619,T. fuscoviolaceum,820,0.0135,0.043520488,0.04973138,0.0013,0.001244756,0.001378585
21421at155619,between,5658,0.3519,0.353769459,0.018242255,0.0294,0.030133492,0.006162055
21421at155619,T. abietinum,9453,0.0674,0.065123654,0.038414204,0.0032,0.006382651,0.008807759
21421at155619,T. fuscoviolaceum,820,0.0103,0.016073415,0.012559329,0.0016,0.001502439,0.001361406
2144at155619,between,5658,0.5511,0.554940686,0.030942043,0.0119,0.011973966,0.002456895
2144at155619,T. abietinum,9453,0.1458,0.125736676,0.057927151,0.0041,0.003803121,0.003259654
2144at155619,T. fuscoviolaceum,820,0.0933,0.085176098,0.037591695,0.0013,0.001401341,0.000754481
21555at155619,between,5658,0.4548,0.458057494,0.024338478,0.102,0.101184447,0.004500284
21555at155619,T. abietinum,9453,0.0978,0.090951603,0.047624725,0.0194,0.021496932,0.012529428
21555at155619,T. fuscoviolaceum,820,0.0155,0.027277317,0.033018909,0.00905,0.009412073,0.007544234
21584at155619,between,5658,0.2322,0.234793302,0.021373952,0.0232,0.023783404,0.00398682
21584at155619,T. abietinum,9453,0.0529,0.04377349,0.03250347,0,0.002915709,0.005023815
21584at155619,T. fuscoviolaceum,820,0.0127,0.051802195,0.056472217,0.0014,0.008392195,0.010143302
21599at155619,between,5658,0.5013,0.514500813,0.065128874,0.0162,0.017771421,0.004065006
21599at155619,T. abietinum,9453,0.1816,0.160775288,0.087122386,0.0019,0.001924913,0.001497014
21599at155619,T. fuscoviolaceum,820,0.1107,0.106078902,0.0671328,0,0.003474634,0.004678631
21624at155619,between,5658,0.35055,0.362875292,0.036395545,0.0172,0.018424585,0.004181349
21624at155619,T. abietinum,9453,0.1382,0.109051127,0.058504306,0.0088,0.008167111,0.006266205
21624at155619,T. fuscoviolaceum,820,0.0315,0.070217561,0.059247348,0.0021,0.004356707,0.004179468
21628at155619,between,5658,0.2755,0.277529092,0.019003861,0.0353,0.035078491,0.003121155
21628at155619,T. abietinum,9453,0.0907,0.069896668,0.057044424,0.0097,0.008163747,0.00675998
21628at155619,T. fuscoviolaceum,820,0.0196,0.033374268,0.033811118,0.0032,0.004575732,0.004186496
21744at155619,between,5658,0.3924,0.387585896,0.03041307,0.0833,0.083250124,0.004371562
21744at155619,T. abietinum,9453,0.0454,0.070253369,0.053235862,0.0142,0.014978314,0.008888594
21744at155619,T. fuscoviolaceum,820,0.0564,0.05664561,0.038610973,0.0154,0.015364756,0.009654956
21872at155619,between,5658,0.453,0.44703245,0.04414485,0.0211,0.021470696,0.00667447
21872at155619,T. abietinum,9453,0.1132,0.108036507,0.040966423,0.0026,0.003301798,0.008626306
21872at155619,T. fuscoviolaceum,820,0.1169,0.089312317,0.062770263,0.0065,0.005652683,0.00400163
21902at155619,between,5658,0.4183,0.412348798,0.019716203,0.0268,0.027795953,0.003827905
21902at155619,T. abietinum,9453,0.115,0.086870189,0.066250145,0.0067,0.006287644,0.006776491
21902at155619,T. fuscoviolaceum,820,0.0123,0.030493659,0.027859884,0.0011,0.001555488,0.001468358
21918at155619,between,5658,0.3934,0.396440544,0.025817677,0.0523,0.0527038,0.004314985
21918at155619,T. abietinum,9453,0.1063,0.09331371,0.041991059,0.0144,0.013892151,0.006415259
21918at155619,T. fuscoviolaceum,820,0.0724,0.094081951,0.063353595,0.0144,0.013288171,0.008972414
22216at155619,between,5658,0.3385,0.342440686,0.018461667,0.0299,0.030907264,0.003257068
22216at155619,T. abietinum,9453,0.076,0.073725918,0.044141928,0.0067,0.00769762,0.006141434
22216at155619,T. fuscoviolaceum,820,0.0185,0.053485976,0.052244733,0.0017,0.004276707,0.004077076
22238at155619,between,5658,0.2873,0.279698798,0.021358501,0.0729,0.064396147,0.015203674
22238at155619,T. abietinum,9453,0.0666,0.06992706,0.045613914,0.0259,0.019344917,0.016572631
22238at155619,T. fuscoviolaceum,820,0.007,0.029905,0.033782527,0.0043,0.009932683,0.010076391
2225at155619,between,5658,0.38765,0.388539643,0.011050523,0.0407,0.040000194,0.002983609
2225at155619,T. abietinum,9453,0.0464,0.056754332,0.035987005,0.0047,0.004415075,0.002287641
2225at155619,T. fuscoviolaceum,820,0.0323,0.039119634,0.03112079,0.0023,0.005585488,0.005530877
22270at155619,between,5658,0.5717,0.568633528,0.024083603,0.0665,0.064001396,0.007453014
22270at155619,T. abietinum,9453,0.0524,0.090200867,0.076033502,0.0121,0.016796446,0.012617199
22270at155619,T. fuscoviolaceum,820,0.01,0.03202622,0.034246912,0.0027,0.005950854,0.005840492
22292at155619,between,5658,0.48525,0.486770608,0.026280018,0.0209,0.021008678,0.002685933
22292at155619,T. abietinum,9453,0.1053,0.09728794,0.041071916,0.0053,0.005003512,0.003264887
22292at155619,T. fuscoviolaceum,820,0.0641,0.094372683,0.066423865,0.0013,0.005479634,0.006316934
22414at155619,between,5658,0.3951,0.394333651,0.02682046,0.0387,0.039288088,0.006511117
22414at155619,T. abietinum,9453,0.1029,0.101207426,0.05917822,0.0105,0.012200709,0.011620272
22414at155619,T. fuscoviolaceum,820,0.0601,0.061185488,0.039354869,0.006,0.006015122,0.002845396
2246at155619,between,5658,0.3789,0.380159703,0.016293842,0.0524,0.052457423,0.002346268
2246at155619,T. abietinum,9453,0.0896,0.076523347,0.04734129,0.0131,0.01145667,0.006966908
2246at155619,T. fuscoviolaceum,820,0.0211,0.056447439,0.050030442,0.0056,0.013526463,0.011364298
22702at155619,between,5658,0.6811,0.678281902,0.050848185,0.0169,0.017081389,0.002300635
22702at155619,T. abietinum,9453,0.136,0.1164713,0.061052496,0.0067,0.006205448,0.004063972
22702at155619,T. fuscoviolaceum,820,0.0524,0.065650122,0.043996525,0,0.000820122,0.001080021
22906at155619,between,5658,0.2719,0.272947614,0.015171249,0.0317,0.030409367,0.002948936
22906at155619,T. abietinum,9453,0.0449,0.056988289,0.041462478,0.0083,0.006637533,0.004319963
22906at155619,T. fuscoviolaceum,820,0.0057,0.023188415,0.024448383,0.0013,0.004536341,0.004514762
22942at155619,between,5658,0.3475,0.351390456,0.021530219,0.0237,0.024211453,0.00361382
22942at155619,T. abietinum,9453,0.0973,0.088210134,0.039452594,0.0159,0.014573098,0.006833171
22942at155619,T. fuscoviolaceum,820,0.0057,0.038371463,0.050717786,0.0027,0.003880122,0.003491921
22972at155619,between,5658,0.2654,0.273042117,0.023234027,0.0404,0.036701891,0.008778006
22972at155619,T. abietinum,9453,0.0884,0.066370517,0.054577389,0.0026,0.003810462,0.003252358
22972at155619,T. fuscoviolaceum,820,0.0059,0.042980732,0.049950134,0.0019,0.009016463,0.011992092
23018at155619,between,5658,0.4245,0.422909951,0.014507366,0.0806,0.081673825,0.003772144
23018at155619,T. abietinum,9453,0.0752,0.079147678,0.047545878,0.0216,0.019883423,0.01102338
23018at155619,T. fuscoviolaceum,820,0.0037,0.009991098,0.010170103,0.0017,0.004931585,0.005102296
23023at155619,between,5658,0.2899,0.306987487,0.04131772,0.0516,0.05169947,0.004999633
23023at155619,T. abietinum,9453,0.1222,0.099309373,0.058861405,0.0104,0.01071846,0.005777929
23023at155619,T. fuscoviolaceum,820,0.1559,0.09532,0.089128399,0.0267,0.024596707,0.023537535
23141at155619,between,5658,0.38225,0.381373418,0.036178643,0.0052,0.005042153,0.00126362
23141at155619,T. abietinum,9453,0.0886,0.085451825,0.040283163,0,0.000638961,0.000884768
23141at155619,T. fuscoviolaceum,820,0.07695,0.063428537,0.043492272,0,0.000897317,0.001052977
23160at155619,between,5658,0.3547,0.361772075,0.035471718,0.0277,0.028491746,0.008924714
23160at155619,T. abietinum,9453,0.095,0.087060552,0.041219567,0.0037,0.005839564,0.011859985
23160at155619,T. fuscoviolaceum,820,0.0854,0.087899878,0.065674795,0.0113,0.011112317,0.007877199
23179at155619,between,5658,0.3547,0.355340916,0.025810251,0.0648,0.06456444,0.004333015
23179at155619,T. abietinum,9453,0.1091,0.099868708,0.035881046,0.02,0.018944198,0.00722823
23179at155619,T. fuscoviolaceum,820,0.0991,0.076294024,0.045994813,0.016,0.014120488,0.007339508
23180at155619,between,5658,0.29945,0.301654754,0.023412131,0.01095,0.011405408,0.003312936
23180at155619,T. abietinum,9453,0.0749,0.080255824,0.037564611,0.0044,0.004350778,0.003869031
23180at155619,T. fuscoviolaceum,820,0.0529,0.052026098,0.037624248,0.0015,0.001841463,0.001615134
2319at155619,between,5658,0.4036,0.399926617,0.031162618,0.0162,0.016348922,0.001743424
2319at155619,T. abietinum,9453,0.0939,0.082553338,0.046424229,0.0027,0.00331828,0.0024759
2319at155619,T. fuscoviolaceum,820,0.0839,0.085738659,0.066882581,0.0034,0.00313622,0.002489361
23204at155619,between,5658,0.3825,0.396323613,0.035691819,0.0381,0.037389537,0.003987571
23204at155619,T. abietinum,9453,0.0835,0.092853623,0.068951357,0.0122,0.01084626,0.007844407
23204at155619,T. fuscoviolaceum,820,0.0185,0.042898659,0.040078595,0.0092,0.008785244,0.005662012
23216at155619,between,5658,0.4573,0.458345688,0.038338267,0.0826,0.08265509,0.010269532
23216at155619,T. abietinum,9453,0.1133,0.098763303,0.051661859,0.0227,0.02310658,0.012216692
23216at155619,T. fuscoviolaceum,820,0.04815,0.084793049,0.070336873,0.0258,0.022443415,0.011982676
23227at155619,between,5658,0.2955,0.298272534,0.030922632,0.016,0.013651502,0.006134089
23227at155619,T. abietinum,9453,0.0731,0.07266746,0.041236787,0.0029,0.00583273,0.007256926
23227at155619,T. fuscoviolaceum,820,0.0243,0.030101951,0.019940718,0.0014,0.000777317,0.000810371
23251at155619,between,5658,0.298,0.303335295,0.026003237,0.0492,0.049244309,0.004463267
23251at155619,T. abietinum,9453,0.0617,0.062953338,0.031613839,0.0144,0.014524712,0.006443012
23251at155619,T. fuscoviolaceum,820,0.0257,0.046451951,0.039345866,0.0087,0.008731707,0.004466633
23328at155619,between,5658,0.3701,0.370683722,0.014401645,0.0973,0.095880665,0.004179755
23328at155619,T. abietinum,9453,0.0386,0.050587073,0.032230186,0.0135,0.018572813,0.012459334
23328at155619,T. fuscoviolaceum,820,0.0069,0.009957805,0.009355446,0.0022,0.002925488,0.002784296
23427at155619,between,5658,0.3772,0.372795475,0.022580065,0.0211,0.021206098,0.002352521
23427at155619,T. abietinum,9453,0.0841,0.08935192,0.05423394,0.008,0.007503152,0.004244122
23427at155619,T. fuscoviolaceum,820,0.10125,0.11087122,0.068261538,0.0062,0.006426829,0.004158741
23468at155619,between,5658,0.3613,0.365305497,0.025623715,0.0737,0.073651273,0.00459166
23468at155619,T. abietinum,9453,0.1244,0.091865979,0.05524446,0.0275,0.022505353,0.01345036
23468at155619,T. fuscoviolaceum,820,0.0049,0.04094,0.06601895,0.0124,0.013084634,0.009690871
23530at155619,between,5658,0.3561,0.356086497,0.020579323,0.0214,0.021459597,0.003273385
23530at155619,T. abietinum,9453,0.0612,0.056564911,0.031574393,0.0042,0.004752512,0.003881021
23530at155619,T. fuscoviolaceum,820,0.0129,0.02552622,0.035922762,0.0021,0.002794268,0.003875748
23613at155619,between,5658,0.4416,0.438436585,0.032725083,0,0.005227165,0.00842585
23613at155619,T. abietinum,9453,0.1141,0.113964022,0.062733066,0,0.000181784,0.000564722
23613at155619,T. fuscoviolaceum,820,0.0272,0.062441098,0.058910727,0.0016,0.008485854,0.009956457
23746at155619,between,5658,0.3472,0.337822676,0.027558199,0.0224,0.02226163,0.001853382
23746at155619,T. abietinum,9453,0.0791,0.078049117,0.037940601,0.007,0.006423019,0.003802146
23746at155619,T. fuscoviolaceum,820,0.0101,0.048584512,0.054451315,0.0023,0.003567195,0.00285045
23753at155619,between,5658,0.3334,0.333352033,0.017286304,0.0298,0.029689979,0.002401489
23753at155619,T. abietinum,9453,0.1528,0.113280556,0.065724117,0.0122,0.011115032,0.005469278
23753at155619,T. fuscoviolaceum,820,0.0117,0.033400122,0.051116679,0.0012,0.004125488,0.006222632
23765at155619,between,5658,0.3133,0.318255285,0.016871659,0.0023,0.003241234,0.001197432
23765at155619,T. abietinum,9453,0.0387,0.047079149,0.03763545,0,0.00034863,0.000883901
23765at155619,T. fuscoviolaceum,820,0.0109,0.016782561,0.015568197,0.0023,0.001420122,0.001409162
23824at155619,between,5658,0.3726,0.36777257,0.033365524,0.0071,0.008009915,0.001319859
23824at155619,T. abietinum,9453,0.0992,0.094897757,0.037619148,0.0018,0.001484502,0.001534302
23824at155619,T. fuscoviolaceum,820,0.0246,0.078117683,0.077005256,0.0018,0.002607683,0.002750194
23837at155619,between,5658,0.3197,0.32224597,0.026724161,0.0319,0.036884023,0.012318365
23837at155619,T. abietinum,9453,0.0797,0.073020121,0.031938308,0.0074,0.014102761,0.017047536
23837at155619,T. fuscoviolaceum,820,0.0044,0.013279634,0.015460384,0.0018,0.004358659,0.004612214
23945at155619,between,5658,0.3222,0.324402492,0.018611451,0.0478,0.047480293,0.002358657
23945at155619,T. abietinum,9453,0.076,0.074169946,0.034832866,0.0127,0.011928446,0.005045061
23945at155619,T. fuscoviolaceum,820,0.0236,0.022050366,0.014962646,0.005,0.004835732,0.002679065
23952at155619,between,5658,0.385,0.384953164,0.0334394,0.0763,0.076166684,0.003918164
23952at155619,T. abietinum,9453,0.1041,0.101747974,0.052171335,0.0128,0.012787263,0.006559516
23952at155619,T. fuscoviolaceum,820,0.13485,0.107229634,0.063777749,0.0096,0.009808415,0.005409871
2408at155619,between,5658,0.3528,0.356225327,0.015542339,0.0095,0.009568081,0.00125764
2408at155619,T. abietinum,9453,0.0516,0.06701937,0.046023614,0.0027,0.002463165,0.001502517
2408at155619,T. fuscoviolaceum,820,0.04415,0.04354939,0.02923409,7.00E-04,0.000585,0.000502115
24174at155619,between,5658,0.48865,0.486830505,0.031128579,0.0494,0.049434111,0.003350779
24174at155619,T. abietinum,9453,0.0928,0.099530572,0.053595963,0.0103,0.009465112,0.005087876
24174at155619,T. fuscoviolaceum,820,0.0764,0.090957195,0.069094546,0.0081,0.007954512,0.004458381
24261at155619,between,5658,0.5498,0.549220944,0.060510164,0.004,0.004975115,0.001578778
24261at155619,T. abietinum,9453,0.13,0.1148095,0.061037496,0,0.001116154,0.001699957
24261at155619,T. fuscoviolaceum,820,0.08955,0.127605244,0.07950563,0.0013,0.00080939,0.000804306
2427at155619,between,5658,0.3613,0.368611417,0.020204541,0.0138,0.013811524,0.001270019
2427at155619,T. abietinum,9453,0.0864,0.06271902,0.053619171,0.004,0.003417804,0.002975437
2427at155619,T. fuscoviolaceum,820,0.0093,0.02949439,0.031335796,5.00E-04,0.001453049,0.001575895
24334at155619,between,5658,0.228,0.229256946,0.015007291,0.0319,0.033301379,0.007787593
24334at155619,T. abietinum,9453,0.0519,0.054801333,0.034020523,0.0081,0.007841743,0.004696503
24334at155619,T. fuscoviolaceum,820,0.0425,0.034552927,0.023025111,0.0105,0.010335122,0.010853504
24345at155619,between,5658,0.3324,0.33203503,0.016851076,0.046,0.046086497,0.005018761
24345at155619,T. abietinum,9453,0.0748,0.076666455,0.036424994,0.0158,0.019557844,0.013579275
24345at155619,T. fuscoviolaceum,820,0.0466,0.048334878,0.039892789,0.0112,0.010327683,0.006397455
24374at155619,between,5658,0.58835,0.586177271,0.053134949,0.0153,0.017007352,0.006557105
24374at155619,T. abietinum,9453,0.1013,0.098496276,0.046252073,0.0076,0.007505194,0.006203447
24374at155619,T. fuscoviolaceum,820,0.0421,0.047205976,0.032494502,0.0057,0.008910976,0.008662216
24448at155619,between,5658,0.416,0.414539396,0.017640754,0.0122,0.013987063,0.002827504
24448at155619,T. abietinum,9453,0.0479,0.071504454,0.05522907,0,0.002062742,0.003192674
24448at155619,T. fuscoviolaceum,820,0.0103,0.020324268,0.022982249,0.0024,0.002408659,0.002875022
24463at155619,between,5658,0.4052,0.412277519,0.051284403,0.0372,0.036523577,0.003848202
24463at155619,T. abietinum,9453,0.1267,0.111490892,0.056967985,0.0195,0.017042791,0.007702906
